Filename,Category,Kind,N_Features,N_Features_in_Policies_Complete,N_Features_in_Policies_Failed,N_Configurations,Z3_Policies_Evaluated,Z3_Alerts,AST_Alerts,Is_Match,T_Z3_ms,T_AST_ms,False_Positives_AST,False_Negatives_AST,Error_Mapping
pihole-pvc.yaml,tiny,PersistentVolumeClaim,15,7,3,1,2,1,1,True,13557.0,34.05,[],[],
selinuxoptions4838.yaml,tiny,Pod,28,481,136,1,49,11,11,True,177320.83,175.62,[],[],
storage.k8s.io.v1beta1.StorageClass54.yaml,tiny,StorageClass,0,0,0,0,0,0,0,,0.0,0.0,,,CRITICAL: 'NoneType' object is not iterable
pod-bad47_5.yaml,tiny,Pod,12,481,187,2,49,13,13,True,176837.32,179.6,[],[],
pod-with-secret-volume15.yaml,tiny,Pod,19,481,195,4,49,14,14,True,176766.01,187.69,[],[],
apparmorprofile01752.yaml,tiny,Pod,14,481,187,1,49,13,13,True,176819.47,189.1,[],[],
ing63.yaml,tiny,Ingress,12,4,2,1,2,1,1,True,13266.44,39.4,[],[],
claim-0112.yaml,tiny,PersistentVolumeClaim,10,7,3,1,2,1,1,True,13676.22,30.75,[],[],
deployment6384.yaml,tiny,Deployment,25,422,178,27,26,8,8,True,96687.94,122.38,[],[],
skywalking6_3.yaml,tiny,Deployment,35,422,178,1,26,8,8,True,96969.59,117.29,[],[],
seccompprofile_baseline1615.yaml,tiny,Pod,14,481,187,1,49,13,13,True,176741.58,186.02,[],[],
ingress-application-ckad7_1.yaml,tiny,Deployment,24,422,178,1,26,8,8,True,96466.65,117.98,[],[],
service3395.yaml,tiny,Service,14,13,2,1,6,1,1,True,27726.21,42.57,[],[],
1-pdb.yaml,tiny,PodDisruptionBudget,11,2,2,1,1,1,1,True,10081.85,31.29,[],[],
kafka3_14.yaml,tiny,Deployment,38,422,178,8,26,8,8,True,96643.6,122.94,[],[],
seccompprofile_baseline0498.yaml,tiny,Pod,16,481,187,2,49,13,13,True,177113.25,186.35,[],[],
prometheus310_5.yaml,tiny,Deployment,44,422,178,4704,26,8,8,True,96559.08,133.81,[],[],
resource454_8.yaml,tiny,Pod,11,481,187,1,49,13,13,True,177071.15,182.14,[],[],
pod-bad104_2.yaml,tiny,Pod,11,481,187,1,49,13,13,True,176716.93,195.51,[],[],
pod-patched0210.yaml,tiny,Pod,11,481,187,3,49,13,13,True,177039.18,192.0,[],[],
capabilities_baseline2231.yaml,tiny,Pod,15,481,204,1,49,14,14,True,176924.53,192.28,[],[],
injection_7.yaml,tiny,Pod,9,481,198,2,49,15,15,True,176237.98,207.0,[],[],
mysql-pv53.yaml,tiny,PersistentVolume,15,0,0,1,0,0,0,True,0.01,25.81,[],[],
service6172.yaml,tiny,Service,14,13,2,1,6,1,1,True,27752.47,40.94,[],[],
bookinfo-psa_7.yaml,tiny,ServiceAccount,7,7,0,1,3,0,0,True,6954.78,28.83,[],[],
nfspv.yaml,tiny,PersistentVolume,13,0,0,1,0,0,0,True,0.0,28.75,[],[],
Manifest346_7.yaml,tiny,Deployment,30,422,178,5,26,8,8,True,96803.9,119.37,[],[],
allowprivilegeescalation26.yaml,tiny,Pod,15,481,187,1,49,13,13,True,177261.28,185.42,[],[],
deployment3440_10.yaml,tiny,ClusterRoleBinding,16,12,0,5,4,0,0,True,7226.34,29.81,[],[],
podcontroller-bad100_8.yaml,tiny,CronJob,15,420,176,2,25,7,7,True,93023.85,114.12,[],[],
03-kubernetes-deployment11.yaml,tiny,Deployment,28,422,176,4,26,7,7,True,97165.6,124.22,[],[],
components34_5.yaml,tiny,ClusterRoleBinding,16,12,0,1,4,0,0,True,6984.28,29.07,[],[],
