Feature,Midle,Turned,Value
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_annotations_KeyMap,MutatingWebhookConfiguration_metadata_annotations_KeyMap,KeyMap,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_annotations_ValueMap,MutatingWebhookConfiguration_metadata_annotations_ValueMap,ValueMap,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_creationTimestamp,MutatingWebhookConfiguration_metadata_creationTimestamp,creationTimestamp,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_creationTimestamp_Time,MutatingWebhookConfiguration_metadata_creationTimestamp_Time,Time,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_creationTimestamp_isNull,MutatingWebhookConfiguration_metadata_creationTimestamp_isNull,isNull,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_deletionGracePeriodSeconds,MutatingWebhookConfiguration_metadata_deletionGracePeriodSeconds,deletionGracePeriodSeconds,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_deletionTimestamp,MutatingWebhookConfiguration_metadata_deletionTimestamp,deletionTimestamp,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_deletionTimestamp_Time,MutatingWebhookConfiguration_metadata_deletionTimestamp_Time,Time,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_finalizers,MutatingWebhookConfiguration_metadata_finalizers,finalizers,-
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_finalizers_StringValue,MutatingWebhookConfiguration_metadata_finalizers_StringValue,StringValue,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_generateName,MutatingWebhookConfiguration_metadata_generateName,generateName,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_generation,MutatingWebhookConfiguration_metadata_generation,generation,
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_labels,MutatingWebhookConfiguration_metadata_labels,labels,-
io_k8s_api_admissionregistration_v1_MutatingWebhookConfiguration_metadata_labels_KeyMap,MutatingWebhookConfiguration_metadata_labels_KeyMap,KeyMap,
